LS-DYNA keyword deck by LS-PrePost,Rcforc Data
Time,Ma 376 X-force,Time,Ma 376 Y-force,Time,Ma 376 Z-force,
    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,
    1.0997500503e-03,    0.0000000000e+00,    1.0997500503e-03,    0.0000000000e+00,    1.0997500503e-03,    0.0000000000e+00,
    2.1997699514e-03,    0.0000000000e+00,    2.1997699514e-03,    0.0000000000e+00,    2.1997699514e-03,    0.0000000000e+00,
    3.2998500392e-03,    0.0000000000e+00,    3.2998500392e-03,    0.0000000000e+00,    3.2998500392e-03,    0.0000000000e+00,
    4.3996800669e-03,    0.0000000000e+00,    4.3996800669e-03,    0.0000000000e+00,    4.3996800669e-03,    0.0000000000e+00,
    5.4998099804e-03,    0.0000000000e+00,    5.4998099804e-03,    0.0000000000e+00,    5.4998099804e-03,    0.0000000000e+00,
    6.5997899510e-03,    0.0000000000e+00,    6.5997899510e-03,    0.0000000000e+00,    6.5997899510e-03,    0.0000000000e+00,
    7.6998798177e-03,    0.0000000000e+00,    7.6998798177e-03,    0.0000000000e+00,    7.6998798177e-03,    0.0000000000e+00,
    8.7998397648e-03,    0.0000000000e+00,    8.7998397648e-03,    0.0000000000e+00,    8.7998397648e-03,    0.0000000000e+00,
    9.8999300972e-03,    0.0000000000e+00,    9.8999300972e-03,    0.0000000000e+00,    9.8999300972e-03,    0.0000000000e+00,
    1.0999900289e-02,    0.0000000000e+00,    1.0999900289e-02,    0.0000000000e+00,    1.0999900289e-02,    0.0000000000e+00,
    1.2099799700e-02,    0.0000000000e+00,    1.2099799700e-02,    0.0000000000e+00,    1.2099799700e-02,    0.0000000000e+00,
    1.3199700043e-02,    0.0000000000e+00,    1.3199700043e-02,    0.0000000000e+00,    1.3199700043e-02,    0.0000000000e+00,
    1.4299700037e-02,    0.0000000000e+00,    1.4299700037e-02,    0.0000000000e+00,    1.4299700037e-02,    0.0000000000e+00,
    1.5399900265e-02,    0.0000000000e+00,    1.5399900265e-02,    0.0000000000e+00,    1.5399900265e-02,    0.0000000000e+00,
    1.6499700025e-02,    0.0000000000e+00,    1.6499700025e-02,    0.0000000000e+00,    1.6499700025e-02,    0.0000000000e+00,
    1.7599800602e-02,    0.0000000000e+00,    1.7599800602e-02,    0.0000000000e+00,    1.7599800602e-02,    0.0000000000e+00,
