LS-DYNA keyword deck by LS-PrePost,Rcforc Data
Time,Ma 373 X-force,Time,Ma 373 Y-force,Time,Ma 373 Z-force,
    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,
    1.0990600567e-03,    0.0000000000e+00,    1.0990600567e-03,    0.0000000000e+00,    1.0990600567e-03,    0.0000000000e+00,
    2.1981699392e-03,    0.0000000000e+00,    2.1981699392e-03,    0.0000000000e+00,    2.1981699392e-03,    0.0000000000e+00,
    3.2983899582e-03,    0.0000000000e+00,    3.2983899582e-03,    0.0000000000e+00,    3.2983899582e-03,    0.0000000000e+00,
    4.3993499130e-03,    0.0000000000e+00,    4.3993499130e-03,    0.0000000000e+00,    4.3993499130e-03,    0.0000000000e+00,
    5.4993899539e-03,    0.0000000000e+00,    5.4993899539e-03,    0.0000000000e+00,    5.4993899539e-03,    0.0000000000e+00,
    6.5985200927e-03,    0.0000000000e+00,    6.5985200927e-03,    0.0000000000e+00,    6.5985200927e-03,    0.0000000000e+00,
    7.6994900592e-03,    0.0000000000e+00,    7.6994900592e-03,    0.0000000000e+00,    7.6994900592e-03,    0.0000000000e+00,
    8.7991701439e-03,    0.0000000000e+00,    8.7991701439e-03,    0.0000000000e+00,    8.7991701439e-03,    0.0000000000e+00,
    9.8988199607e-03,    0.0000000000e+00,    9.8988199607e-03,    0.0000000000e+00,    9.8988199607e-03,    0.0000000000e+00,
    1.0999799706e-02,    0.0000000000e+00,    1.0999799706e-02,    0.0000000000e+00,    1.0999799706e-02,    0.0000000000e+00,
    1.2099700049e-02,    0.0000000000e+00,    1.2099700049e-02,    0.0000000000e+00,    1.2099700049e-02,    0.0000000000e+00,
    1.3198999688e-02,    0.0000000000e+00,    1.3198999688e-02,    0.0000000000e+00,    1.3198999688e-02,    0.0000000000e+00,
    1.4299600385e-02,    0.0000000000e+00,    1.4299600385e-02,    0.0000000000e+00,    1.4299600385e-02,    0.0000000000e+00,
    1.5399900265e-02,    0.0000000000e+00,    1.5399900265e-02,    0.0000000000e+00,    1.5399900265e-02,    0.0000000000e+00,
    1.6498299316e-02,    0.0000000000e+00,    1.6498299316e-02,    0.0000000000e+00,    1.6498299316e-02,    0.0000000000e+00,
    1.7599200830e-02,    0.0000000000e+00,    1.7599200830e-02,    0.0000000000e+00,    1.7599200830e-02,    0.0000000000e+00,
    1.8699700013e-02,    0.0000000000e+00,    1.8699700013e-02,    0.0000000000e+00,    1.8699700013e-02,    0.0000000000e+00,
    1.9799100235e-02,    0.0000000000e+00,    1.9799100235e-02,    0.0000000000e+00,    1.9799100235e-02,    0.0000000000e+00,
    2.0898200572e-02,    0.0000000000e+00,    2.0898200572e-02,    0.0000000000e+00,    2.0898200572e-02,    0.0000000000e+00,
    2.1999200806e-02,    0.0000000000e+00,    2.1999200806e-02,    0.0000000000e+00,    2.1999200806e-02,    0.0000000000e+00,
    2.3099999875e-02,    0.0000000000e+00,    2.3099999875e-02,    0.0000000000e+00,    2.3099999875e-02,    0.0000000000e+00,
    2.4199200794e-02,    0.0000000000e+00,    2.4199200794e-02,    0.0000000000e+00,    2.4199200794e-02,    0.0000000000e+00,
    2.5298900902e-02,    0.0000000000e+00,    2.5298900902e-02,    0.0000000000e+00,    2.5298900902e-02,    0.0000000000e+00,
    2.6398399845e-02,    0.0000000000e+00,    2.6398399845e-02,    0.0000000000e+00,    2.6398399845e-02,    0.0000000000e+00,
    2.7499800548e-02,    0.0000000000e+00,    2.7499800548e-02,    0.0000000000e+00,    2.7499800548e-02,    0.0000000000e+00,
    2.8598599136e-02,    0.0000000000e+00,    2.8598599136e-02,    0.0000000000e+00,    2.8598599136e-02,    0.0000000000e+00,
    2.9699800536e-02,    0.0000000000e+00,    2.9699800536e-02,    0.0000000000e+00,    2.9699800536e-02,    0.0000000000e+00,
    3.0798900872e-02,    0.0000000000e+00,    3.0798900872e-02,    0.0000000000e+00,    3.0798900872e-02,    0.0000000000e+00,
    3.1899001449e-02,    0.0000000000e+00,    3.1899001449e-02,    0.0000000000e+00,    3.1899001449e-02,    0.0000000000e+00,
    3.2998200506e-02,    0.0000000000e+00,    3.2998200506e-02,    0.0000000000e+00,    3.2998200506e-02,    0.0000000000e+00,
    3.4099198878e-02,    0.0000000000e+00,    3.4099198878e-02,    0.0000000000e+00,    3.4099198878e-02,    0.0000000000e+00,
    3.5199001431e-02,    0.0000000000e+00,    3.5199001431e-02,    0.0000000000e+00,    3.5199001431e-02,    0.0000000000e+00,
    3.6299198866e-02,    0.0000000000e+00,    3.6299198866e-02,    0.0000000000e+00,    3.6299198866e-02,    0.0000000000e+00,
    3.7398301065e-02,    0.0000000000e+00,    3.7398301065e-02,    0.0000000000e+00,    3.7398301065e-02,    0.0000000000e+00,
    3.8499899209e-02,    0.0000000000e+00,    3.8499899209e-02,    0.0000000000e+00,    3.8499899209e-02,    0.0000000000e+00,
    3.9599601179e-02,    0.0000000000e+00,    3.9599601179e-02,    0.0000000000e+00,    3.9599601179e-02,    0.0000000000e+00,
    4.0699601173e-02,    0.0000000000e+00,    4.0699601173e-02,    0.0000000000e+00,    4.0699601173e-02,    0.0000000000e+00,
    4.1798699647e-02,    0.0000000000e+00,    4.1798699647e-02,    0.0000000000e+00,    4.1798699647e-02,    0.0000000000e+00,
    4.2899001390e-02,    0.0000000000e+00,    4.2899001390e-02,    0.0000000000e+00,    4.2899001390e-02,    0.0000000000e+00,
    4.3998401612e-02,    0.0000000000e+00,    4.3998401612e-02,    0.0000000000e+00,    4.3998401612e-02,    0.0000000000e+00,
    4.5098699629e-02,    0.0000000000e+00,    4.5098699629e-02,    0.0000000000e+00,    4.5098699629e-02,    0.0000000000e+00,
    4.6199701726e-02,    0.0000000000e+00,    4.6199701726e-02,    0.0000000000e+00,    4.6199701726e-02,    0.0000000000e+00,
    4.7299500555e-02,    0.0000000000e+00,    4.7299500555e-02,    0.0000000000e+00,    4.7299500555e-02,    0.0000000000e+00,
    4.8399198800e-02,    0.0000000000e+00,    4.8399198800e-02,    0.0000000000e+00,    4.8399198800e-02,    0.0000000000e+00,
    4.9498300999e-02,    0.0000000000e+00,    4.9498300999e-02,    0.0000000000e+00,    4.9498300999e-02,    0.0000000000e+00,
    5.0599399954e-02,    0.0000000000e+00,    5.0599399954e-02,    0.0000000000e+00,    5.0599399954e-02,    0.0000000000e+00,
    5.1699899137e-02,    0.0000000000e+00,    5.1699899137e-02,    0.0000000000e+00,    5.1699899137e-02,    0.0000000000e+00,
    5.2798800170e-02,    0.0000000000e+00,    5.2798800170e-02,    0.0000000000e+00,    5.2798800170e-02,    0.0000000000e+00,
